Team_1,Team_2,Group ,"Day, Date",Venue,Result
Australia,New Zealand,Group A,"Saturday 22nd October, 2022","Sydney Cricket Ground, Sydney",
England,Afghanistan,Group A,"Saturday 22nd October, 2022","Perth Stadium, Perth",
Sri Lanka,Sri Lanka,Group A,"Sunday 23rd October, 2022","Bellerive Oval, Hobart",
India,Pakistan,Group B,"Sunday 23rd October, 2022","Melbourne Cricket Ground, Melbourne",
Bangladesh,Bangladesh,Group B,"Monday 24th October, 2022","Bellerive Oval, Hobart",
South Africa,West Indies,Group B,"Monday 24th October, 2022","Bellerive Oval, Hobart",
Australia,Sri Lanka,Group A,"Tuesday 25th October, 2022","Perth Stadium, Perth",
England,England,Group A,"Wednesday, 26th October, 2022","Melbourne Cricket Ground, Melbourne",
Afghanistan,New Zealand,Group A,"Wednesday, 26th October, 2022","Melbourne Cricket Ground, Melbourne",
South Africa,Bangladesh,Group B,"Thursday, 27th October, 2022","Sydney Cricket Ground, Sydney",
India,India,Group B,"Thursday, 27th October, 2022","Sydney Cricket Ground, Sydney",
Pakistan,West Indies,Group B,"Thursday, 27th October, 2022","Perth Stadium, Perth",
Afghanistan,Afghanistan,Group A,"Friday, 28th October, 2022","Melbourne Cricket Ground, Melbourne",
England,Australia,Group A,"Friday, 28th October, 2022","Melbourne Cricket Ground, Melbourne",
New Zealand,Sri Lanka,Group A,"Saturday, 29th October, 2022","Sydney Cricket Ground, Sydney",
Bangladesh,West Indies,Group B,"Sunday, 30th October, 2022","The Gabba, Brisbane",
Pakistan,Pakistan,Group B,"Sunday, 30th October, 2022","Perth Stadium, Perth",
India,South Africa,Group B,"Sunday, 30th October 2022","Perth Stadium, Perth",
Australia,Australia,Group A,"Monday, 31st October, 2022","The Gabba, Brisbane",
Sri Lanka,Afghanistan,Group A,"Tuesday, 1st November, 2022","The Gabba, Brisbane",
England,New Zealand,Group A,"Tuesday, 1st November, 2022","The Gabba, Brisbane",
West Indies,West Indies,Group B,"Wednesday, 2nd November, 2022","Adelaide Oval, Adelaide",
India,Bangladesh,Group B,"Wednesday, 2nd November, 2022","Adelaide Oval, Adelaide",
Pakistan,South Africa,Group B,"Thursday, 3rd November, 2022","Sydney Cricket Ground, Sydney",
New Zealand,New Zealand,Group A,"Friday, 4th November, 2022","Adelaide Oval, Adelaide",
Australia,Afghanistan,Group A,"Friday, 4th November, 2022","Adelaide Oval, Adelaide",
England,Sri Lanka,Group A,"Saturday, 5th November, 2022","Sydney Cricket Ground, Sydney",
South Africa,South Africa,Group B,"Sunday, 6th November, 2022","Adelaide Oval, Adelaide",
Pakistan,Bangladesh,Group B,"Sunday, 6th November, 2022","Adelaide Oval, Adelaide",
India,West Indies,Group B,"Sunday, 6th November, 2022","Melbourne Cricket Ground, Melbourne",
To be announced,To be announced,Group A,"Wednesday, 9th November, 2022","Sydney Cricket Ground, Sydney",
To be announced,To be announced,Group A,"Thursday, 10th November, 2022","Adelaide Oval, Adelaide",
To be announced,To be announced,Group A,"Sunday, 13th November, 2022","Melbourne Cricket Ground, Melbourne",
